tweet_id,favorites,retweets
666020888022790149,2524,498
666029285002620928,125,46
666033412701032449,122,43
666044226329800704,290,136
666049248165822465,105,42
666050758794694657,130,57
666051853826850816,1195,830
666055525042405380,428,235
666057090499244032,289,138
666058600524156928,109,57
666063827256086533,465,213
666071193221509120,142,58
666073100786774016,316,159
666082916733198337,113,44
666094000022159362,160,72
666099513787052032,150,66
666102155909144576,77,11
666104133288665088,14030,6383
666268910803644416,100,35
666273097616637952,170,76
666287406224695296,142,63
666293911632134144,490,343
666337882303524864,192,89
666345417576210432,285,132
666353288456101888,215,71
666362758909284353,759,559
666373753744588802,183,88
666396247373291520,162,83
666407126856765440,105,40
666411507551481857,433,321
666418789513326592,122,45
666421158376562688,312,111
666428276349472768,163,82
666430724426358785,311,194
666435652385423360,163,53
666437273139982337,122,47
666447344410484738,102,20
666454714377183233,513,208
666644823164719104,229,80
666649482315059201,1112,619
666691418707132416,186,47
666701168228331520,426,218
666739327293083650,233,66
666776908487630848,348,174
666781792255496192,381,192
666786068205871104,752,484
666804364988780544,237,92
666817836334096384,514,249
666826780179869698,252,97
666835007768551424,212,80
666837028449972224,811,553
666983947667116034,2538,980
666996132027977728,244,94
667012601033924608,443,222
667044094246576128,183,51
667062181243039745,216,54
667065535570550784,165,46
667073648344346624,402,121
667090893657276420,331,126
667119796878725120,328,127
667138269671505920,4592,2210
667152164079423490,47624,17109
667160273090932737,257,62
667165590075940865,2679,1140
667171260800061440,221,90
667174963120574464,241,83
667176164155375616,610,464
667177989038297088,191,55
667182792070062081,14307,6224
667188689915760640,741,416
667192066997374976,385,108
667200525029539841,611,260
667211855547486208,492,242
667369227918143488,363,164
667393430834667520,193,55
667405339315146752,464,220
667435689202614272,303,84
667437278097252352,448,239
667443425659232256,777,582
667453023279554560,310,91
667455448082227200,190,60
667470559035432960,256,100
667491009379606528,531,230
667495797102141441,518,272
667502640335572993,531,220
667509364010450944,6783,2145
667517642048163840,366,193
667524857454854144,1699,1116
667530908589760512,465,241
667534815156183040,815,543
667538891197542400,202,65
667544320556335104,866,530
667546741521195010,334,125
667549055577362432,5808,2306
667550882905632768,0,33
667550904950915073,0,35
667724302356258817,480,322
667728196545200128,378,152
667766675769573376,441,219
667773195014021121,236,57
667782464991965184,409,246
667793409583771648,698,335
667801013445750784,329,97
667806454573760512,1056,499
667832474953625600,291,63
667861340749471744,242,78
667866724293877760,3011,1045
667873844930215936,628,412
667878741721415682,393,122
667885044254572545,819,495
667886921285246976,1896,1110
667902449697558528,854,381
667911425562669056,494,308
667915453470232577,209,56
667924896115245057,304,113
667937095915278337,1269,801
668113020489474048,671,246
668142349051129856,571,287
668154635664932864,501,321
668171859951755264,495,199
668190681446379520,657,199
668204964695683073,556,198
668221241640230912,514,200
668226093875376128,301,105
668237644992782336,6247,2896
668248472370458624,1000,498
668256321989451776,1315,628
668268907921326080,556,242
668274247790391296,829,234
668286279830867968,506,139
668291999406125056,245,32
668297328638447616,622,300
668466899341221888,887,525
668480044826800133,461,151
668484198282485761,432,239
668496999348633600,419,135
668507509523615744,329,110
668528771708952576,463,232
668537837512433665,253,77
668542336805281792,461,220
668544745690562560,519,232
668567822092664832,247,57
668614819948453888,616,318
668620235289837568,204,43
668623201287675904,1440,785
668625577880875008,390,138
668627278264475648,321,118
668631377374486528,723,324
668633411083464705,2831,1678
668636665813057536,1050,497
668641109086707712,1084,548
668643542311546881,886,541
668645506898350081,897,541
668655139528511488,538,222
668779399630725120,707,377
668815180734689280,578,275
668826086256599040,437,140
668852170888998912,457,171
668872652652679168,531,306
668892474547511297,398,154
668902994700836864,321,102
668932921458302977,268,59
668955713004314625,283,72
668960084974809088,708,243
668975677807423489,1314,590
668979806671884288,804,355
668981893510119424,544,314
668986018524233728,558,172
668988183816871936,903,479
668989615043424256,687,334
668992363537309700,749,355
668994913074286592,443,235
669000397445533696,21058,6483
669006782128353280,582,255
669015743032369152,744,381
669037058363662336,661,320
669203728096960512,1012,488
669214165781868544,442,170
669216679721873412,1202,411
669324657376567296,501,213
669327207240699904,580,119
669328503091937280,1025,424
669351434509529089,441,190
669353438988365824,652,266
669354382627049472,2734,1294
669359674819481600,370,127
669363888236994561,627,232
669367896104181761,470,160
669371483794317312,499,184
669375718304980992,1344,744
669393256313184256,369,78
669564461267722241,389,127
669567591774625800,236,56
669571471778410496,1603,1037
669573570759163904,438,143
669583744538451968,1505,942
669597912108789760,515,152
669603084620980224,953,367
669625907762618368,3555,1845
669661792646373376,807,449
669680153564442624,670,295
669682095984410625,352,136
669683899023405056,391,112
669749430875258880,270,65
669753178989142016,823,408
669923323644657664,234,58
669926384437997569,376,106
669942763794931712,508,168
669970042633789440,306,62
669972011175813120,449,163
669993076832759809,328,86
670003130994700288,335,95
670037189829525505,591,281
670040295598354432,762,114
670046952931721218,650,181
670055038660800512,672,337
670061506722140161,770,348
670069087419133954,633,246
670073503555706880,1588,806
670079681849372674,2238,1263
670086499208155136,704,258
670093938074779648,1034,340
670290420111441920,712,292
670303360680108032,432,139
670319130621435904,3894,1245
670338931251150849,425,113
670361874861563904,329,69
670374371102445568,749,275
670385711116361728,564,216
670403879788544000,437,161
670408998013820928,561,229
670411370698022913,2036,916
670417414769758208,573,322
670420569653809152,631,321
670421925039075328,1314,645
670427002554466305,523,167
670428280563085312,1392,639
670433248821026816,330,114
670434127938719744,1412,659
670435821946826752,1063,526
670442337873600512,646,202
670444955656130560,6785,2021
670449342516494336,1203,677
670452855871037440,554,210
670465786746662913,980,564
670468609693655041,356,86
670474236058800128,1536,775
670668383499735048,10796,5135
670676092097810432,251,44
670679630144274432,755,290
670691627984359425,596,249
670704688707301377,775,378
670717338665226240,1221,505
670727704916926465,833,367
670733412878163972,974,524
670755717859713024,447,114
